112	97.1	181	122	109	395	3.5e-09	86.3	158	0.0108	0	0	53.2	49.7	337	126	3.03e-09	209	0	0	707	22.6	300	2.18e-08	28.5	87.2	734	1640	154	3.27e-09	1940	721	403	851	360	197	6.97e-09	67.8	198	4.62e-09
241	120	264	1.74e-09	311	527	185	97	101	78.4	1.5e-08	4.87	56.4	20	354	250	194	290	3.16e-05	0.0166	664	203	282	183	53.5	59.2	148	2970	85.9	676	1760	426	53.3	738	334	156	7.69e-09	61.4	208	34.9
543	164	39.4	220	441	326	24.3	95.9	63	166	2.16e-08	3.39	59.1	41.7	263	303	58.4	281	0	0	528	75.9	316	77.6	23.2	122	1100	2360	234	210	1070	763	1090	704	181	216	7.91e-09	59.6	180	498
429	133	237	1.19	322	395	60.1	102	151	3.39	7.89	30.6	53.8	71.1	219	236	120	242	0	0	503	154	260	69	16.2	117	233	2360	84.7	33.8	1200	131	2.72e-09	770	198	217	7.19e-09	65.7	210	4.37e-09
377	152	109	38.4	271	393	95.8	68.5	90.8	0.00215	0	0	50.1	67.4	329	1.69e-09	572	201	0	0	437	386	208	22.4	50	53.9	293	3230	197	312	2060	1.41e-09	979	703	191	195	7.19e-09	65.6	198	362
208	112	200	42.8	490	346	5.58	106	166	6.91e-10	7.64	22.4	57.6	35.8	282	344	233	196	0	0	581	215	321	68.6	12.2	125	188	3470	200	475	3140	561	2.71e-09	774	261	180	7.86e-09	60.1	214	183
261	195	140	29.6	1.58e-09	525	3.26e-09	92.8	68.3	67.5	0	0	70.3	0.323	192	2.9e-09	111	370	0.000189	0.00219	556	43.9	318	64	17	126	686	765	207	98.6	2330	1.25e-09	762	739	126	219	7.1e-09	66.5	188	76.4
205	147	94.8	109	298	377	6.27e-09	48.2	93.4	119	0	0	52.1	22.2	178	135	176	266	0	0	502	95.9	266	2.28e-09	42.3	110	1000	1460	228	27.3	708	630	298	740	239	159	6.8e-09	69.4	204	26
34	159	200	62.9	204	212	5.9	21.9	119	31	5.56e-09	13.2	42.3	97.9	333	103	25.8	266	0	0	499	102	149	4.07e-09	1.31e-09	86.1	969	1910	148	45.7	1290	601	377	668	31.9	262	6.57e-09	71.8	208	4.42e-09
3.82e-09	171	173	88.5	399	387	92	128	132	33.1	0	0	67.1	2.33e-09	449	1.24e-09	171	381	0	0	585	236	227	255	74.5	83.5	963	1970	177	2.85e-09	489	1070	389	434	123	249	6.84e-09	69	203	73.4
258	164	41.4	107	411	423	51	5.92e-09	82.2	67.3	0	0	43.2	68.9	234	129	53.9	82.4	0.00027	0.00109	601	132	272	18.7	103	63.7	327	2720	185	101	1980	249	649	417	220	168	7.07e-09	66.8	199	253
27.3	134	41.4	29.2	362	388	99.8	99.6	157	7.27e-08	0	0	63.5	15.6	208	99.4	220	161	0	0	455	206	300	99.8	32	127	979	1110	199	5.96	1470	1.98e-09	976	563	143	214	7.51e-09	62.8	215	49.6
5.75e-09	113	199	91.6	450	510	3.17e-09	95.3	110	2.58	4.67e-09	15.7	59.6	49.7	233	232	269	232	0	0	670	135	220	2.76e-09	37.8	133	939	1680	74.1	6.81e-09	2200	1.32e-09	785	785	57.8	209	7.03e-09	67.1	217	4.23e-09
384	173	2.43e-09	189	61.6	461	3.98e-09	75.8	125	5.8	2.49e-08	2.94	66.3	1.24e-09	52.9	476	0.0564	351	0.000231	0.0017	500	81	336	101	55.2	124	883	1820	217	341	1590	232	756	657	167	190	7.63e-09	61.8	185	282
124	169	62.6	25	56.3	322	21	107	147	6.53	4.63e-09	15.8	57.3	42.9	92.4	214	116	232	0	0	638	28.8	272	2.23e-09	46.8	117	1110	1540	221	178	1030	506	120	649	113	238	6.65e-09	70.9	238	24.7
461	106	137	169	168	544	16.5	59.3	135	0.000452	0	0	66	1.25e-09	313	162	205	247	0	0	533	389	273	4.22	31	108	1160	1030	205	339	1640	424	1000	605	292	187	8.15e-09	57.9	205	4.47e-09
134	113	94.4	94.5	295	2.81e-09	16.2	96.7	160	2.62e-07	0	0	44.1	77.1	243	2.29e-09	95	263	0	0	663	232	205	390	28.5	123	267	2390	167	7.57	1050	347	5.37e-09	390	301	204	7.48e-09	63.1	133	517
39.8	168	142	36.2	340	369	78.6	81.6	130	31.1	1.78e-09	41.1	50.3	63.2	370	95.8	2.61e-09	242	0	0	636	243	240	137	9.9	115	1410	780	220	252	853	905	2.77e-09	755	212	232	6.97e-09	67.7	206	279
